"Text","Difficulty","","","","","","","","","","","","","","","","","","","","",""
"Tandis que les jonquilles fleurissent, les parents dissimulent du chocolat dans le jardin afin de célébrer Pâques","B1","","","","","","","","","","","","","","","","","","","","",""
"Certains familles décorent les œufs durs en peignant leurs coquilles avec des teintes vertes ou rouges.","B1","","","","","","","","","","","","","","","","","","","","",""
"J'achèterai tout de même des chaussures de randonnée au cas où.","B1","","","","","","","","","","","","","","","","","","","","",""
"Je lui ferai découvrir les villes de Lyon et de Montpellier","B1","","","","","","","","","","","","","","","","","","","","",""
"Je termine à Montmartre avec sa basilique et ses ruelles pavées.","B1","","","","","","","","","","","","","","","","","","","","",""
"Après l'ambiance de luxe, ici c'est comme un village tranquille et traditionnel.","B1","","","","","","","","","","","","","","","","","","","","",""
"Toutefois, certaines personnes ne disposent pas d'un budget spécial pour financer ce type de détente.","B1","","","","","","","","","","","","","","","","","","","","",""
"Avec les prévisions météo, on peut savoir quel temps il fera le soir, le lendemain ou dans la semaine.","B1","","","","","","","","","","","","","","","","","","","","",""
"S'il y a des nuages avec de la pluie sur la carte, c'est qu'il va pleuvoir et qu'il y a des risques de tempête ou de grêle.","B1","","","","","","","","","","","","","","","","","","","","",""
"Si de la pluie tombe alors qu'il y a du soleil, vous pourrez sans doute observer un arc-en-ciel.","B1","","","","","","","","","","","","","","","","","","","","",""
"Lorsqu'il y a un éclair avec des nuages et de la pluie, il risque d'y avoir de la foudre et du tonnerre.","B1","","","","","","","","","","","","","","","","","","","","",""
"Ce véritable musée végétal présente une collection de plus de 
1 200 espèces sauvages et cultivées, qui comprend les variétés les plus menacées en France.","B1","","","","","","","","","","","","","","","","","","","","",""
"Plus que faire une visite, le promeneur remontera le temps et découvrira ainsi une partie de l’histoire de la région.","B1","","","","","","","","","","","","","","","","","","","","",""
"Vous découvrirez des façades surprenantes et des petites places romantiques.","B1","","","","","","","","","","","","","","","","","","","","",""
"À la radio, le journaliste Jean-Michel Aphatie a conservé les intonations de son Pays basque natal, 
dans le Sud de la France.","B1","","","","","","","","","","","","","","","","","","","","",""
"On le trouvera ridicule et ce sera une catastrophe.","B1","","","","","","","","","","","","","","","","","","","","",""
"J’ai dû reprendre, car j’avais des problèmes de santé, ça me fait beaucoup de bien au moral.","B1","","","","","","","","","","","","","","","","","","","","",""
"Et grâce à ces nouvelles résolutions encourageantes, je dors bien mieux maintenant !","B1","","","","","","","","","","","","","","","","","","","","",""
"Et puis tu me connais, à force de sortir tous les soirs, je ne me repose pas beaucoup !","B1","","","","","","","","","","","","","","","","","","","","",""
"Faute de temps, nous n’avons pas pu visiter le musée d’art contemporain.","B1","","","","","","","","","","","","","","","","","","","","",""
"Il ne viendra pas, sous prétexte qu’il est malade ! ","B1","","","","","","","","","","","","","","","","","","","","",""
"Le Président de la République sera élu par les Français","B1","","","","","","","","","","","","","","","","","","","","",""
"Personne n’était intéressé par les discours du député","B1","","","","","","","","","","","","","","","","","","","","",""
"Un secrétaire va être embauché par le directeur","B1","","","","","","","","","","","","","","","","","","","","",""
"Des réformes vont être proposées par le chef du gouvernement","B1","","","","","","","","","","","","","","","","","","","","",""
"Des mesures vont être prises par le ministre de la santé oublique","B1","","","","","","","","","","","","","","","","","","","","",""
"De nouveaux modèles de vêtements viennent d’être présentés par ce styliste.","B1","","","","","","","","","","","","","","","","","","","","",""
"Cette maison vient d’être vendue à des Hollandais","B1","","","","","","","","","","","","","","","","","","","","",""
"Et le roman peut alors être acheté par de nombreux lecteurs","B1","","","","","","","","","","","","","","","","","","","","",""
"Les policiers viennent d'expulser ces jeunes clandestins","B1","","","","","","","","","","","","","","","","","","","","",""
"Le parquet de Nanterre annonce le 7 janvier 2021 que Patrick Balkany est placé en garde à vue  ainsi que son gendre et son directeur de cabinet","B1","","","","","","","","","","","","","","","","","","","","",""
"Issu d'une famille de musiciens il débute l'accordéon entre 7 et 8 ans","B1","","","","","","","","","","","","","","","","","","","","",""
"Ce traité se termine par son propre horoscope","B1","","","","","","","","","","","","","","","","","","","","",""
"les forces navales américaines capturent deux vaisseaux de guerre Britanniques.","B1","","","","","","","","","","","","","","","","","","","","",""
"Le massacre est commémoré sur le drapeau de la ville de Chicago par sa première étoile rouge","B1","","","","","","","","","","","","","","","","","","","","",""
"Il a dû téléphoner au médecin de garde.","B1","","","","","","","","","","","","","","","","","","","","",""
"Ma soeur ainée a pris le volant pour rouler plus énergiquement car mes frères conduisaient trop prudemment.","B1","","","","","","","","","","","","","","","","","","","","",""
"Tu as descendu l’escalier à toute allure pour réceptionner ton colis.","B1","","","","","","","","","","","","","","","","","","","","",""
"Quand j’ai lu, j’ai découvert de nouvelles choses surprenantes sur les locataires qui occupaient l'appartement. ","B1","","","","","","","","","","","","","","","","","","","","",""
"J’ai perdu mon temps inutilement: je n’ai rien pu faire.","B1","","","","","","","","","","","","","","","","","","","","",""
"Vous avez beaucoup pleuré suite à votre rupture qui vous a brisé le coeurs en milles morceaux.","B1","","","","","","","","","","","","","","","","","","","","",""
"Mes frères ont vendu leurs figurines à un collectionneur.","B1","","","","","","","","","","","","","","","","","","","","",""
"Nous avons voulu visiter le musée et nous avons dû payer l’entrée.","B1","","","","","","","","","","","","","","","","","","","","",""
"Vous avez sûrement été une belle femme désirée  et courtisée à l'époque.","B1","","","","","","","","","","","","","","","","","","","","",""
"Tu as entendu ce fracas sourd ?","B1","","","","","","","","","","","","","","","","","","","","",""
"Tu as continué à penser à ton amant disparu.","B1","","","","","","","","","","","","","","","","","","","","",""
"Mes voisins ont voulu quitter le pays de maière précipitée car il craignait pour leur survie .","B1","","","","","","","","","","","","","","","","","","","","",""
"J’ai juré de dire la vérité sans concession au bon dieu.","B1","","","","","","","","","","","","","","","","","","","","",""
"Ils ont achevé leurs corvées de jardinage et ils sont rentrés changer.","B1","","","","","","","","","","","","","","","","","","","","",""
"Tu as pensé à envoyer un message d'excuses à ton correspondant étranger ?","B1","","","","","","","","","","","","","","","","","","","","",""
"Quand j’ai attteint mes 1 ans et demi, j’ai appris à marcher de manière autonome et assurée.","B1","","","","","","","","","","","","","","","","","","","","",""
"Nous avons vécu durant plusieurs décénnies au beau milieu Canada occidental.","B1","","","","","","","","","","","","","","","","","","","","",""
"Ils ont préparé le dîner pour tous les convives puis, ils ont rangé et nettoyé la cuisine intégralement.","B1","","","","","","","","","","","","","","","","","","","","",""
"Vendredi soir prochain, vous viendrez à la maison, et nous mangerons des légumes frais du potager.","B1","","","","","","","","","","","","","","","","","","","","",""
"Tu retireras ton chapeau en feutre et tes gants en cuire et tu t’assiéras en silence.","B1","","","","","","","","","","","","","","","","","","","","",""
"Elle cueillera les roses et elle les arrosera si nécessaire.","B1","","","","","","","","","","","","","","","","","","","","",""
"Elle conduira prudemment le camion lorsqu’elle sortira de l'allée.","B1","","","","","","","","","","","","","","","","","","","","",""
"Après le cours, vous boirez un verre en notre compagnie, vous rirez aux éclats et aurez du bon temps avec vos amis.","B1","","","","","","","","","","","","","","","","","","","","",""
"Ils attendront quelques minutes sur le quai et ils prendront le train commercial en provenance de Paris.","B1","","","","","","","","","","","","","","","","","","","","",""
"Les enfants, vous vous tairez lorsque je signalerai de le faire.","B1","","","","","","","","","","","","","","","","","","","","",""
"Il faudra nous prévenir quand vous recevrez des communications importantes. ","B1","","","","","","","","","","","","","","","","","","","","",""
"Quand il recevra cette déclaration, il constatera que tu es sincère et il s’apercevra que tu l’aimes vraiment.","B1","","","","","","","","","","","","","","","","","","","","",""
"Demain, il pleuvra des cordes, il vaudra mieux se protéger avec un parapluie et une cape imperméable.","B1","","","","","","","","","","","","","","","","","","","","",""
"Quand je reviendrai, j’offrirai beaucoup d’amour à ceux que j’aprécie et je couvrirai mes enfants de présents.","B1","","","","","","","","","","","","","","","","","","","","",""
"Vous remplirez le vase d’eau, puis vous cueillerez des fleurs sauvages qui mourront demain.","B1","","","","","","","","","","","","","","","","","","","","",""
"Quand il fera le ménage de l’appartement, il jettera les vieux papiers, il nettoiera le linge et il ouvrira les fenêtres.","B1","","","","","","","","","","","","","","","","","","","","",""
"Quand je finirai ce travail, je partirai en Floride. Je fuirai l’hiver et les grands froids.","B1","","","","","","","","","","","","","","","","","","","","",""
"Lorsqu’elle entendra le réveille-matin, elle se lèvera du lit, elle prendra une douche et elle se dépêchera pour aller au bureau.","B1","","","","","","","","","","","","","","","","","","","","",""
"J'enverrai la facture, il la paiera aussitôt qu’il la recevra","B1","","","","","","","","","","","","","","","","","","","","",""
"Lundi, nous tiendrons la réunion en avant-midi et nous continuerons les discussions en après-midi","B1","","","","","","","","","","","","","","","","","","","","",""
"Je prenais congé : j’étais épuisée par ma sur-charge de tâches.","B1","","","","","","","","","","","","","","","","","","","","",""
"Si tu voulais, tu pouvais te joindre à la manifestation populaire.","B1","","","","","","","","","","","","","","","","","","","","",""
"La journaliste enfilait son manteau en laine pour se rendre au cinéma pour regarder un film dramatique et écrire sa critique.","B1","","","","","","","","","","","","","","","","","","","","",""
"Ils s'accordait des vacances méritées chaque été afin de combler son manque de sommeil accumulé.","B1","","","","","","","","","","","","","","","","","","","","",""
"Il devait à tout prix téléphoner à son bourreau quand il recevait des nouvelles de son banquier.","B1","","","","","","","","","","","","","","","","","","","","",""
"Vous étudiiez sérieusement et vous réussissiez sans le moindre effort de votre part.","B1","","","","","","","","","","","","","","","","","","","","",""
"Ils venaient souvent nous distraire durant notre confinement.","B1","","","","","","","","","","","","","","","","","","","","",""
"Vous faisiez de l’exercice physique professionnellement.","B1","","","","","","","","","","","","","","","","","","","","",""
"Tu toussais si fort que cela t'empêchait de réfléchir intensément.","B1","","","","","","","","","","","","","","","","","","","","",""
"On devait constamment écouter les directives nos parents adoptifs.","B1","","","","","","","","","","","","","","","","","","","","",""
"Il pleuvait des trombes et j'attendais patiament que le prochain autobus programmé arrive. ","B1","","","","","","","","","","","","","","","","","","","","",""
"Chaque soir, nous mangions après avoir béni notre festin par la prière sacrée.","B1","","","","","","","","","","","","","","","","","","","","",""
"Elles accomplissaient leurs corvées ménagères avant de pouvoir s'évader et rejoindre leurs amis.","B1","","","","","","","","","","","","","","","","","","","","",""
"Le félin au pelage d'or avait plu à mes parents.","B1","","","","","","","","","","","","","","","","","","","","",""
"Quand le téléphone retentissait, on s'empressait de répondre immédiatement.","B1","","","","","","","","","","","","","","","","","","","","",""
"Tu n’oubliais pas ! Tu nettoyais la demeure de fond en combles.","B1","","","","","","","","","","","","","","","","","","","","",""
"Le héros mourait héroiquement des suite des ses blessures à la fin du film.","B1","","","","","","","","","","","","","","","","","","","","",""
"Vous deviez rendre des comptes à la justice pour vos crimes.","B1","","","","","","","","","","","","","","","","","","","","",""
"Tu descendais à toute allure l’escalier de marbre et te ruait vers le halle de la demeure.","B1","","","","","","","","","","","","","","","","","","","","",""
"Tout en lisant les rubriques criminelles du journal de découvrait une nouvelle effroyable.","B1","","","","","","","","","","","","","","","","","","","","",""
"Je perdais mon temps : je ne faisais rien d'utile à la société moderne.","B1","","","","","","","","","","","","","","","","","","","","",""
"Ils faisaient une grande fête à chaque année.","B1","","","","","","","","","","","","","","","","","","","","",""
"Tu entendais ce bruit suspect? Je distinguait des mots en latin.","B1","","","","","","","","","","","","","","","","","","","","",""
"Tu pensais toujours à ton amant qui t'avait abandonné sans pitié.","B1","","","","","","","","","","","","","","","","","","","","",""
"Mes voisins voulaient quitter le pays en cachette, une fois la nuit tombée. ","B1","","","","","","","","","","","","","","","","","","","","",""
"Tu remplissais le pot d’eau et tu mettais des glaçons à congeler dans le congélateur du sous-sol.","B1","","","","","","","","","","","","","","","","","","","","",""
"Dès le soleil couché, je m'installais confortablement dans mon fauteuil à bascule pour écouter un bon disque de jazz. ","B1","","","","","","","","","","","","","","","","","","","","",""
"Une fois le rangement du jardin effectué, ils s'occupaient de tailler les haies. ","B1","","","","","","","","","","","","","","","","","","","","",""
"Ils ne vont pas à la manifestation parce qu’ils n'ont pas pu prendre de jours de congé. .","B1","","","","","","","","","","","","","","","","","","","","",""
"Mais, l’hiver prochain, si elle n’a pas de rhume, elle fera du ski.","B1","","","","","","","","","","","","","","","","","","","","",""
"Elles ne vont pas au théâtre parce qu’elles n’ont pas le temps.","B1","","","","","","","","","","","","","","","","","","","","",""
"Je ne peux pas dormir parce que les voisins font trop de bruit.","B1","","","","","","","","","","","","","","","","","","","","",""
"Je ne t’ai pas téléphoné parce que j’ai eu trop de travail.","B1","","","","","","","","","","","","","","","","","","","","",""
"Tu as détesté ce restaurant parce que la nourriture était très épicée.","B1","","","","","","","","","","","","","","","","","","","","",""
"Je suis impatient de retrouver mes camarades et de connaître mon emploi du temps.","B1","","","","","","","","","","","","","","","","","","","","",""
"Quels lieux ou constructions rappellent que Constantinople a été une ville romaine ?","B1","","","","","","","","","","","","","","","","","","","","",""
"L’énigme de ce roman policier surprendra les lecteurs.","B1","","","","","","","","","","","","","","","","","","","","",""
"La plupart des spectateurs ont apprécié la pièce de théâtre.","B1","","","","","","","","","","","","","","","","","","","","",""
"L’intervalle entre les deux séances est trop long.","B1","","","","","","","","","","","","","","","","","","","","",""
"Il est dangereux de conduire sans ceinture de sécurité.","B1","","","","","","","","","","","","","","","","","","","","",""
"À ce stade, une formation est vraiment nécessaire afin de développer ses compétences linguistiques.","B1","","","","","","","","","","","","","","","","","","","","",""
"J’aimerais que tu fermes la fenêtre avant de partir.","B1","","","","","","","","","","","","","","","","","","","","",""
"Dans ce jardin botanique, vous pourrez découvrir des plantes à parfum, médicinales, aromatiques et industrielles.","B1","","","","","","","","","","","","","","","","","","","","",""
"Demain, nous nous lèverons tôt et nous nous promènerons dans la les bois situés aux alentours du manoir.","B1","","","","","","","","","","","","","","","","","","","","",""
"Quand ils se verront, elle pleurera et elle s’évanouira ; l’émotion sera trop grande.","B1","","","","","","","","","","","","","","","","","","","","",""
"Si mes dents contunent à me faire souffrir ainsi, j’irai chez le dentiste.","B1","","","","","","","","","","","","","","","","","","","","",""
"Si nous sortons sous la pluie vêtus de la sorte, nous serons malades en un rien de temps.","B1","","","","","","","","","","","","","","","","","","","","",""
"Vous ne sortez pas souvent de votre zone parce que vous n’avez pas de moyen de transport.","B1","","","","","","","","","","","","","","","","","","","","",""
"Nous avons eu des brûlures d'estomac atroces parce que nous avons englouti des tonnes de chocolat.","B1","","","","","","","","","","","","","","","","","","","","",""
"Sa méthode de déduction inspire à notre auteur le personnage de Sherlock Holmes.","B1","","","","","","","","","","","","","","","","","","","","",""
"Elles se servirent un copieux repas afin de récupérer leurs forces.","B1","","","","","","","","","","","","","","","","","","","","",""
"Elle a passé la nuit à réviser le rapport annuel.","B1","","","","","","","","","","","","","","","","","","","","",""
"Nous avons reçu plusieurs plaintes à ce sujet.","B1","","","","","","","","","","","","","","","","","","","","",""
"Mon Dieu, elle a perdu la tête.","B1","","","","","","","","","","","","","","","","","","","","",""
"Il m’a donné un coup de poing dans la figure.","B1","","","","","","","","","","","","","","","","","","","","",""
"Le journal a été emporté par un coup de vent.","B1","","","","","","","","","","","","","","","","","","","","",""
"J’ai engagé la conversation pour briser le silence pesant de ces dernières minutes.","B1","","","","","","","","","","","","","","","","","","","","",""
"Il pleut des cordes dans le massif central.","B1","","","","","","","","","","","","","","","","","","","","",""
"Arnaud était sous le choc : sa meilleure amie lui aurait donc menti?","B1","","","","","","","","","","","","","","","","","","","","",""
"Tu me dis que c’est moi qui ai refusé d'aller chez toi il y a un an.","B1","","","","","","","","","","","","","","","","","","","","",""
"En cherchant davantage, nous aurions découvert le trésor.","B1","","","","","","","","","","","","","","","","","","","","",""
"Ce clown amusant avait distrait les petits enfants.","B1","","","","","","","","","","","","","","","","","","","","",""
"Il y a 100 ans, cette pièce de monnaie valait peu d’argent.","B1","","","","","","","","","","","","","","","","","","","","",""
"Sans y penser, j’ai fait des erreurs !","B1","","","","","","","","","","","","","","","","","","","","",""
"Les enfants se sont endormis très facilement.","B1","","","","","","","","","","","","","","","","","","","","",""
"C’est dans ce village de 1638 habitants que sont implantés les locaux de la nouvelle émission de téléréalité.","B2","","","","","","","","","","","","","","","","","","","","",""
"Si j’avais su, je ne serais pas venu…","B2","","","","","","","","","","","","","","","","","","","","",""
"Il a eu drôlement de chance, il aurait pu y laisser sa vie.","B2","","","","","","","","","","","","","","","","","","","","",""
"Elle commémore la résurrection de Jésus mais fête aussi le printemps !","B2","","","","","","","","","","","","","","","","","","","","",""
"La promenade pédagogique et interactive dans les différents jardins (médiéval, tropical, espèces 
odorantes et protégées) fera appelà tous vos sens et vous expliquera les vertus et les utilisations des plantes.","B2","","","","","","","","","","","","","","","","","","","","",""
"Le seul « beau parler » était celui des élites parisiennes et ceux qui rêvaient de s’élever socialement devaient l’adopter.","B2","","","","","","","","","","","","","","","","","","","","",""
"Il avait été défendu par un mauvais avocat.","B2","","","","","","","","","","","","","","","","","","","","",""
"Sixtine nous a cassé les couilles sur le forum de gestion de projet.","B2","","","","","","","","","","","","","","","","","","","","",""
"Vous avez dû de l’argent aux banques pour rembourser votre prêt ! ","B2","","","","","","","","","","","","","","","","","","","","",""
"Ce soir, nous regarderons des photos dans l'album familial et nous nous souviendrons des moments agréables.","B2","","","","","","","","","","","","","","","","","","","","",""
"Je convaincrai mon frère et il s’inscrira à l’activité inter-scolaire de la classe.","B2","","","","","","","","","","","","","","","","","","","","",""
"Tu accueilleras les gens à la porte principale, tu offriras du thé et des biscuits, tu papoteras poliment et tu 
Te tairas quand les autres parleront","B2","","","","","","","","","","","","","","","","","","","","",""
"Nous entamions un nouveau programme de notre cursus.","B2","","","","","","","","","","","","","","","","","","","","",""
"Si nous sommes bloqués dans l’ascenseur qui s'est arrêté brusquement, nous 
appellerons du secours dès que la communication sera établie.","B2","","","","","","","","","","","","","","","","","","","","",""
"S’ils vont au cinéma pour l'avant-première, ils verront le dernier film de ce réalisateur de notoriété internationale.","B2","","","","","","","","","","","","","","","","","","","","",""
"Si vous désirez des informations supplémentaires, vous m’enverrez un courriel en recommendé.","B2","","","","","","","","","","","","","","","","","","","","",""
"Si je croise Émilie par hasard, je l’inviterai à souper pour le réveillon de la saint sylvestre.","B2","","","","","","","","","","","","","","","","","","","","",""
"S’ils étudient de manière plus assidue, ils n'auraient plus desoin de redoubler.","B2","","","","","","","","","","","","","","","","","","","","",""
"Si vous vous goinfrés de ce gâteau marbré, vous aurez des violentes crampes à l’estomac.","B2","","","","","","","","","","","","","","","","","","","","",""
"Si je gagne suffisamment d’argent, je voyagerai en Europe tel un vagabond.","B2","","","","","","","","","","","","","","","","","","","","",""
"S’il avait un travail plus prestigieux, il aurait l'opportunité de remporter plus d'argent et ainsi améliorer 
sa qualité de vie.","B2","","","","","","","","","","","","","","","","","","","","",""
"Si nous savions employer correctement votre langue maternelle, nous trouverions du travail en un rien de temps.","B2","","","","","","","","","","","","","","","","","","","","",""
"Si j’étais plus attirante, tous les garçons tomberaient raide dingues de mon charme envoutant. ","B2","","","","","","","","","","","","","","","","","","","","",""
"Si elle avait un caractère plus commode, elle nouerait plus d'amitiés sincères.","B2","","","","","","","","","","","","","","","","","","","","",""
"Si vous arriviez plus tôt, vous verriez peut-être mes parents en train de lustrer la voiture de collection de mon père.","B2","","","","","","","","","","","","","","","","","","","","",""
"Si tu respectait les indications plus sérieusement, tu trouverais plus facilement ton chemin à travers ces ruelles.","B2","","","","","","","","","","","","","","","","","","","","",""
"Si nous écoutions le discours plus attentivement, nous comprendrions mieux l’objet des 
revendications établies par ce parti politique de la jeunesse suisse.","B2","","","","","","","","","","","","","","","","","","","","",""
"Si tu étais moins bavard, les gens te confieraient plus de secrets intimes et confidentiels.","B2","","","","","","","","","","","","","","","","","","","","",""
"Si vous mangiez moins de féculents et de matières grasses, vous auriez la taille plus fine et le corps mieux sculpté.","B2","","","","","","","","","","","","","","","","","","","","",""
"Si nous savions conduire l'automobile à boite automatique, nous pourrions l’emprunter le samedi soir pour nous 
rendre à l'observatoire.","B2","","","","","","","","","","","","","","","","","","","","",""
"Si j’avais plus de confiance en moi, je téléphonerais à James pour lui avouer mes sentiments les plus 
inavouables pourtant gardés enfoui en moi.","B2","","","","","","","","","","","","","","","","","","","","",""
"S’il n’avait pas plu des trombes d'eau, elle serait allée en randonnée pédestre sur le sentier de montagne 
le plus escarpé de la région.","B2","","","","","","","","","","","","","","","","","","","","",""
"S’il n’avait pas été méchant et irrespectueux avec nous, nous l’aurions probablement invité à notre réception.","B2","","","","","","","","","","","","","","","","","","","","",""
"Si le député avait respecté les électeurs, il aurait démissionné de son plein gré.","B2","","","","","","","","","","","","","","","","","","","","",""
"Si tu avais eu dix-huit ans, tu aurais pu acheter de la bière par tes propres moyens et n'aurait eu de 
compte à rendre à qui que ce soit.","B2","","","","","","","","","","","","","","","","","","","","",""
"Si vous étiez arrivés à l’heure comme convenu, vous auriez vu le début du reportage auto-biographique sur
 l'auteur contemporain le plus convoité du moment.","B2","","","","","","","","","","","","","","","","","","","","",""
"Si elle avait été suffisament investie, elle aurait sans doute mieux réussi professionnellement et dans la vie.","B2","","","","","","","","","","","","","","","","","","","","",""
"Si vous aviez préparé un repas convenbale, comme cela était convenu, j’aurais sûrement 
tenté de manger un peu par respect.","B2","","","","","","","","","","","","","","","","","","","","",""
"Si je n’avais pas été habillé aussi chaudement, j’aurais eu froid aux extrémité de mon corps.","B2","","","","","","","","","","","","","","","","","","","","",""
"Si tu avais eu son adresse de résidence, tu aurais pu lui rendre visite de manière 
spontanée et sans gâcher l'effet de surprise souhaité.","B2","","","","","","","","","","","","","","","","","","","","",""
"Si ce roman policier avait été plus captivant, je l’aurais terminé sans hésiter.","B2","","","","","","","","","","","","","","","","","","","","",""
"Si l’épicerie de quartier avait été ouverte en ce jour congé, comme indiqué sur le panneau informatif 
nous aurions acheté du lait et du sirop d'érable pour préparer du pain perdu aux enfants.","B2","","","","","","","","","","","","","","","","","","","","",""
"Si vous aviez cherché ces dossiers comptables correctement, vous les auriez trouvés en un rien de temps.","B2","","","","","","","","","","","","","","","","","","","","",""
"Si je n’avais pas eu de douleur intenses au dos, je ne serais pas allé chez l'osthéopathe.","B2","","","","","","","","","","","","","","","","","","","","",""
"Si nous avions eu suffisament d’argent, nous aurions pris l’avion pour nous 
rendre à notre conférence sur les enjeux écologiques du siècle et ainsi participer activement au débat.","B2","","","","","","","","","","","","","","","","","","","","",""
"Si j’avais eu plus de temps-libre, je t’aurais écrit plus souvent afin de t'informer de ma progression dans mes recherches.","B2","","","","","","","","","","","","","","","","","","","","",""
"Si vous aviez eu plus de jours de congé, vous seriez partis en voyage itinérant à travers les contrées lointaines d'Amazonie. ","B2","","","","","","","","","","","","","","","","","","","","",""
"S’il avait fait plus chaud, nous nous serions baignés dans le lac.","B2","","","","","","","","","","","","","","","","","","","","",""
"Le public découvre dans un magazine hebdomadaire les premières nouvelles mettant en scène le fameux 
détective et son fidèle Watson","B2","","","","","","","","","","","","","","","","","","","","",""
"L’homme que vous voyez exploita durant plusieurs décennies, un site archéologique aux troubailles impressionnantes.","B2","","","","","","","","","","","","","","","","","","","","",""
"Alors, il comprit que plus rien n’était possible.","B2","","","","","","","","","","","","","","","","","","","","",""
"Les condés sont arrivés et ont pris ma Ganja ","B2","","","","","","","","","","","","","","","","","","","","",""
"J’espérai vous entrevoir et avoir la chance de vous parler.","B2","","","","","","","","","","","","","","","","","","","","",""
"Je m’inscrivis à une nouvelle formation en ligne.","B2","","","","","","","","","","","","","","","","","","","","",""
"Elle descendit l’escalier à toute vitesse et courut le rencontrer.","B2","","","","","","","","","","","","","","","","","","","","",""
"Le cheval arriva au galop et sauta par-dessus la clôture.","B2","","","","","","","","","","","","","","","","","","","","",""
"Les petits jouèrent et dansèrent autour du feu de joie.","B2","","","","","","","","","","","","","","","","","","","","",""
"Il plut toute la nuit et le vent souffla sans cesse contre les carreaux de la ville demeure.","B2","","","","","","","","","","","","","","","","","","","","",""
"Je levai courageusement le petit doigt et je repris mon souffle, coupé par la stupeur de ce que j'avais vu précédement.","B2","","","","","","","","","","","","","","","","","","","","",""
"Elle mit vivement son chapeau à plumes, sa cape et elle partit en silence sans ajouter le moindre mot.","B2","","","","","","","","","","","","","","","","","","","","",""
"Cette femme mourut seule et misérable.","B2","","","","","","","","","","","","","","","","","","","","",""
"La direction était tout à fait à l’aise avec cette décision","B2","","","","","","","","","","","","","","","","","","","","",""
"Il serait préférable de faire l’essai de cette voiture d’occasion avant son acquisition.","B2","","","","","","","","","","","","","","","","","","","","",""
"Elle se classe première parmi les meilleures de sa catégorie.","B2","","","","","","","","","","","","","","","","","","","","",""
"Je ne sais pas ce qu’il a, mais il fait la tête depuis ce matin.","B2","","","","","","","","","","","","","","","","","","","","",""
"Malgré le danger, il a gardé la tête froide durant cette expérience.","B2","","","","","","","","","","","","","","","","","","","","",""
"Peux-tu jeter un coup d’œil à mes devoirs ?","B2","","","","","","","","","","","","","","","","","","","","",""
"Il a vu le jour pendant la guerre sous les coups de bombes et les invasions ennemies.","B2","","","","","","","","","","","","","","","","","","","","",""
"J’ai mis mon rapport à jour pour l'inventaire des actifs.","B2","","","","","","","","","","","","","","","","","","","","",""
"Les journalistes ont mis la vérité au grand jour sur l'affaire des déchets radioactifs.","B2","","","","","","","","","","","","","","","","","","","","",""
"Sa santé s’est dégradée à cause d'une infection sévère et ses jours sont comptés.","B2","","","","","","","","","","","","","","","","","","","","",""
"La situation économique s’améliore de jour en jour.","B2","","","","","","","","","","","","","","","","","","","","",""
"Elle n’a pas encore démissionné, donc jusqu’à preuve du contraire, elle fait toujours partie de cette entreprise.","B2","","","","","","","","","","","","","","","","","","","","",""
"Je citerai l’histoire de Sophie à titre d’exemple.","B2","","","","","","","","","","","","","","","","","","","","",""
"Je ne pensais pas qu'il eût rendu ses devoirs à l'heure avec les évènements récents.","B2","","","","","","","","","","","","","","","","","","","","",""
"Il eut acheté des méthodes pour apprendre la guitare.","B2","","","","","","","","","","","","","","","","","","","","",""
"Elle se fut rendu compte de son erreur.","B2","","","","","","","","","","","","","","","","","","","","",""
"Quand les joueurs eurent terminé le match, ils prirent une boisson énergisante.","B2","","","","","","","","","","","","","","","","","","","","",""
"Si j'avais de l'argent, je serais partie en voyage pour faire le tour du monde en solitaire.","B2","","","","","","","","","","","","","","","","","","","","",""
"Nous aurions voulu rentrer plus tôt.","B2","","","","","","","","","","","","","","","","","","","","",""
"Si je t’avais raconté cette histoire, tu serais rentré à la maison.","B2","","","","","","","","","","","","","","","","","","","","",""
"Elle se demande s'il aurait aimé l'inviter à sa soirée. ","B2","","","","","","","","","","","","","","","","","","","","",""
"Si elle avait étudié davantage, elle aurait pu réussir l'examen.","B2","","","","","","","","","","","","","","","","","","","","",""
"Elles auraient pu devenir de très grandes amies si elles s'étaient connues avant.","B2","","","","","","","","","","","","","","","","","","","","",""
"Je n'aurais pas dû lui faire confiance sans preuve.","B2","","","","","","","","","","","","","","","","","","","","",""
"Elle aurait aimé qu'il soit plus prudent lors de son excursion en montagne.","B2","","","","","","","","","","","","","","","","","","","","",""
"Il m'a dit qu'il viendrait dès qu'il aurait terminé ses corvées.","B2","","","","","","","","","","","","","","","","","","","","",""
"Elle m'a dit qu'elle s'inscrirait à la compétition lorsque son genou serait guéri.","B2","","","","","","","","","","","","","","","","","","","","",""
"Elle aurait voulu qu'il soit plus patient.","B2","","","","","","","","","","","","","","","","","","","","",""
"S'il avait pris le temps de discuter avec elle, il aurait compris pourquoi elle avait pris la décision de vendre la ferme.","B2","","","","","","","","","","","","","","","","","","","","",""
"Elle aurait aimé qu'il soit capable de se mettre à sa place.","B2","","","","","","","","","","","","","","","","","","","","",""
"Jamais il n'aurait pu croire qu'elle aurait osé lui cacher la vérité de la sorte.","B2","","","","","","","","","","","","","","","","","","","","",""
"Il l'aurait tué avec un couteau.","B2","","","","","","","","","","","","","","","","","","","","",""
